"Account","Date","kwh","Month","Day","Year","Hour","DayOfWeek","Weekday","PeakHour","temp"
999999999,"2014-01-02",0,1,2,2014,16,4,1,1,12.1333333333333
999999999,"2014-01-02",0,1,2,2014,17,4,1,1,10.3
999999999,"2014-01-02",0,1,2,2014,18,4,1,1,8.1
999999999,"2014-01-02",0,1,2,2014,19,4,1,1,24.1
999999999,"2014-01-02",0,1,2,2014,20,4,1,0,23
999999999,"2014-01-02",0,1,2,2014,21,4,1,0,21.9
999999999,"2014-01-02",0,1,2,2014,22,4,1,0,23
999999999,"2014-01-02",0,1,2,2014,23,4,1,0,23
999999999,"2014-01-03",0,1,3,2014,0,5,1,0,1.56666666666667
999999999,"2014-01-03",0,1,3,2014,1,5,1,0,1.9
999999999,"2014-01-03",0,1,3,2014,2,5,1,0,1.9
999999999,"2014-01-03",0,1,3,2014,3,5,1,0,1.9
999999999,"2014-01-03",0,1,3,2014,4,5,1,0,1.65
999999999,"2014-01-03",0,1,3,2014,5,5,1,0,3.1
999999999,"2014-01-03",0,1,3,2014,16,5,1,1,10.9
999999999,"2014-01-03",0,1,3,2014,17,5,1,1,9
999999999,"2014-01-03",0,1,3,2014,18,5,1,1,7
999999999,"2014-01-03",0,1,3,2014,19,5,1,1,6.1
999999999,"2014-01-03",0,1,3,2014,20,5,1,0,6.45
999999999,"2014-01-03",0,1,3,2014,21,5,1,0,4.45
999999999,"2014-01-03",0,1,3,2014,22,5,1,0,3.1
999999999,"2014-01-03",0,1,3,2014,23,5,1,0,2.76666666666667
999999999,"2014-01-04",0,1,4,2014,0,6,0,0,3.9
999999999,"2014-01-04",0,1,4,2014,1,6,0,0,3.9
999999999,"2014-01-04",0,1,4,2014,2,6,0,0,3
999999999,"2014-01-04",0,1,4,2014,3,6,0,0,3.9
999999999,"2014-01-04",0,1,4,2014,4,6,0,0,3
999999999,"2014-01-04",0,1,4,2014,5,6,0,0,1.9
999999999,"2014-01-04",0,1,4,2014,6,6,0,0,1.9
999999999,"2014-01-04",0,1,4,2014,7,6,0,1,3
999999999,"2014-01-04",0,1,4,2014,8,6,0,1,7
999999999,"2014-01-04",0,1,4,2014,9,6,0,1,10
999999999,"2014-01-04",0,1,4,2014,10,6,0,1,14
999999999,"2014-01-04",0,1,4,2014,11,6,0,1,19
999999999,"2014-01-04",0,1,4,2014,12,6,0,1,21
999999999,"2014-01-04",0,1,4,2014,13,6,0,1,23
999999999,"2014-01-04",0,1,4,2014,14,6,0,1,24.1
999999999,"2014-01-04",0,1,4,2014,15,6,0,1,25
999999999,"2014-01-04",0,1,4,2014,16,6,0,1,26.1
999999999,"2014-01-04",0,1,4,2014,17,6,0,1,26.1
999999999,"2014-01-04",0,1,4,2014,18,6,0,1,27
999999999,"2014-01-04",0,1,4,2014,19,6,0,1,6.1
999999999,"2014-01-04",0,1,4,2014,20,6,0,0,5
999999999,"2014-01-04",0,1,4,2014,21,6,0,0,3.9
999999999,"2014-01-04",0,1,4,2014,22,6,0,0,3.9
999999999,"2014-01-04",0,1,4,2014,23,6,0,0,3.9
999999999,"2014-01-05",0,1,5,2014,0,0,0,0,27
999999999,"2014-01-05",0,1,5,2014,1,0,0,0,26.1
999999999,"2014-01-05",0,1,5,2014,2,0,0,0,25
999999999,"2014-01-05",0,1,5,2014,3,0,0,0,25
999999999,"2014-01-05",0,1,5,2014,4,0,0,0,26.1
999999999,"2014-01-05",0,1,5,2014,5,0,0,0,25
999999999,"2014-01-05",0,1,5,2014,6,0,0,0,25
999999999,"2014-01-05",0,1,5,2014,7,0,0,1,24.1
999999999,"2014-01-05",0,1,5,2014,8,0,0,1,27
999999999,"2014-01-05",0,1,5,2014,9,0,0,1,27
999999999,"2014-01-05",0,1,5,2014,10,0,0,1,30
999999999,"2014-01-05",0,1,5,2014,11,0,0,1,34
999999999,"2014-01-05",0,1,5,2014,12,0,0,1,36
999999999,"2014-01-05",0,1,5,2014,13,0,0,1,36
999999999,"2014-01-05",0,1,5,2014,14,0,0,1,36
999999999,"2014-01-05",0,1,5,2014,15,0,0,1,35.1
999999999,"2014-01-05",0,1,5,2014,16,0,0,1,34.45
999999999,"2014-01-05",0,1,5,2014,17,0,0,1,36
999999999,"2014-01-05",0,1,5,2014,18,0,0,1,35.0666666666667
999999999,"2014-01-05",0,1,5,2014,19,0,0,1,27
999999999,"2014-01-05",0,1,5,2014,20,0,0,0,26.1
999999999,"2014-01-05",0,1,5,2014,21,0,0,0,27
999999999,"2014-01-05",0,1,5,2014,22,0,0,0,27
999999999,"2014-01-05",0,1,5,2014,23,0,0,0,27
999999999,"2014-01-06",0,1,6,2014,0,1,1,0,39
999999999,"2014-01-06",0,1,6,2014,1,1,1,0,37.9333333333333
999999999,"2014-01-06",0,1,6,2014,2,1,1,0,40.2
999999999,"2014-01-06",0,1,6,2014,3,1,1,0,43
999999999,"2014-01-06",0,1,6,2014,4,1,1,0,44.1
999999999,"2014-01-06",0,1,6,2014,17,1,1,1,38.875
999999999,"2014-01-06",0,1,6,2014,18,1,1,1,38.1
999999999,"2014-01-06",0,1,6,2014,19,1,1,1,36
999999999,"2014-01-06",0,1,6,2014,20,1,1,0,36.7
999999999,"2014-01-06",0,1,6,2014,21,1,1,0,37.2
999999999,"2014-01-06",0,1,6,2014,22,1,1,0,37.5666666666667
999999999,"2014-01-06",0,1,6,2014,23,1,1,0,37.0333333333333
999999999,"2014-01-07",0,1,7,2014,0,2,1,0,28
999999999,"2014-01-07",0,1,7,2014,1,2,1,0,27
999999999,"2014-01-07",0,1,7,2014,2,2,1,0,26.1
999999999,"2014-01-07",0,1,7,2014,3,2,1,0,19.9
999999999,"2014-01-07",0,1,7,2014,4,2,1,0,17.1
999999999,"2014-01-07",0,1,7,2014,5,2,1,0,15.1
999999999,"2014-01-07",0,1,7,2014,16,2,1,1,12
999999999,"2014-01-07",0,1,7,2014,17,2,1,1,10.9
999999999,"2014-01-07",0,1,7,2014,18,2,1,1,10
