"Day","Hour","Temp","kwh"
"12/1/2014",0,51.98,83.0493186281009
"12/1/2014",1,51.98,83.0493186281009
"12/1/2014",2,51.08,81.9259608102073
"12/1/2014",3,51.08,81.9259608102073
"12/1/2014",4,51.08,81.9259608102073
"12/1/2014",5,51.08,81.9259608102073
"12/1/2014",6,50,80.6296436068451
"12/1/2014",7,53.06,124.314700782628
"12/1/2014",8,55.94,128.383645599023
"12/1/2014",9,60.08,134.580817574255
"12/1/2014",10,60.08,134.580817574255
"12/1/2014",11,62.06,137.653729403103
"12/1/2014",12,62.96,139.069057427615
"12/1/2014",13,60.98,135.970194761905
"12/1/2014",14,57.92,131.303795851597
"12/1/2014",15,55.04,127.087313488053
"12/1/2014",16,53.06,124.314700782628
"12/1/2014",17,51.08,121.668534418304
"12/1/2014",18,48.92,118.954044278608
"12/1/2014",19,48.02,78.4147806007367
"12/1/2014",20,46.94,77.30347080885
"12/1/2014",21,42.98,73.8922698965607
"12/1/2014",22,41,72.6112895765184
"12/1/2014",23,39.02,71.6219824705104
"12/2/2014",0,37.94,69.0542901524796
"12/2/2014",1,37.04,68.2967113725889
"12/2/2014",2,35.96,67.4597076315661
"12/2/2014",3,35.06,66.82455657437
"12/2/2014",4,35.06,66.82455657437
"12/2/2014",5,33.98,66.1394936021555
"12/2/2014",6,33.98,66.1394936021555
"12/2/2014",7,33.08,107.492857305538
"12/2/2014",8,33.08,107.492857305538
"12/2/2014",9,33.98,108.196038403044
"12/2/2014",10,35.06,109.116382871972
"12/2/2014",11,37.04,110.998007673258
"12/2/2014",12,37.04,110.998007673258
"12/2/2014",13,37.04,110.998007673258
"12/2/2014",14,37.04,110.998007673258
"12/2/2014",15,37.22,111.180585994123
"12/2/2014",16,35.96,109.942004260733
"12/2/2014",17,35.96,109.942004260733
"12/2/2014",18,36.68,110.638394346231
"12/2/2014",19,37.04,68.2967113725889
"12/2/2014",20,37.67,68.821425681997
"12/2/2014",21,39.02,70.0321103186047
"12/2/2014",22,39.32,70.3165043377577
"12/2/2014",23,41,72.0057226742424
"12/3/2014",0,42.89,81.9523687932401
"12/3/2014",1,43.82,83.2810848323267
"12/3/2014",2,44.96,84.9384698946548
"12/3/2014",3,44.78,84.6749793559653
"12/3/2014",4,45.14,85.2025760218496
"12/3/2014",5,45.23,85.3348536224184
"12/3/2014",6,37.58,74.9094276914394
"12/3/2014",7,37.22,118.47266578554
"12/3/2014",8,37.94,119.465329877822
"12/3/2014",9,39.02,120.978319829489
"12/3/2014",10,40.1,122.517225013394
"12/3/2014",11,44.06,128.314188616128
"12/3/2014",12,46.31,131.629982314625
"12/3/2014",13,50,137.243752989928
"12/3/2014",14,51.08,138.929416487517
"12/3/2014",15,51.44,139.493496109054
"12/3/2014",16,50,137.243752989928
"12/3/2014",17,50,137.243752989928
"12/3/2014",18,50,137.243752989928
"12/3/2014",19,49.46,91.6885737292096
"12/3/2014",20,48.02,89.4991649948027
"12/3/2014",21,42.98,82.0798675588131
"12/3/2014",22,42.08,80.8172089814906
"12/3/2014",23,39.92,77.9160039495693
"12/4/2014",0,39.02,85.7429073063109
"12/4/2014",1,37.94,84.1225403096091
"12/4/2014",2,37.94,84.1225403096091
"12/4/2014",3,37.04,82.7849064191086
"12/4/2014",4,37.04,82.7849064191086
"12/4/2014",5,33.98,78.340213313013
"12/4/2014",6,33.98,78.340213313013
"12/4/2014",7,35.06,124.371280164795
"12/4/2014",8,37.94,128.73512904574
"12/4/2014",9,39.92,131.78588651255
"12/4/2014",10,41,133.46386119988
"12/4/2014",11,42.08,135.150254769773
"12/4/2014",12,42.98,136.561318458653
"12/4/2014",13,42.98,136.561318458653
"12/4/2014",14,42.08,135.150254769773
"12/4/2014",15,39.92,131.78588651255
"12/4/2014",16,37.04,127.361055033903
"12/4/2014",17,35.96,125.724198269302
"12/4/2014",18,33.98,122.762684961732
"12/4/2014",19,33.08,77.0688840142832
"12/4/2014",20,32,75.5687898231654
"12/4/2014",21,30.92,74.0994721399244
"12/4/2014",22,30.02,72.9009870214556
"12/4/2014",23,30.02,72.9009870214556
"12/5/2014",0,28.94,80.1508627634671
"12/5/2014",1,28.04,78.8189729802034
"12/5/2014",2,28.04,78.8189729802034
"12/5/2014",3,26.96,77.2557969530306
"12/5/2014",4,26.96,77.2557969530306
"12/5/2014",5,26.96,77.2557969530306
