"Day","Hour","Temp","kwh"
"12/1/2014",0,51.98,78.9336569780762
"12/1/2014",1,51.98,78.9336569780762
"12/1/2014",2,51.08,78.9336569780762
"12/1/2014",3,51.08,78.9336569780762
"12/1/2014",4,51.08,78.9336569780762
"12/1/2014",5,51.08,78.9336569780762
"12/1/2014",6,50,78.9336569780762
"12/1/2014",7,53.06,87.4556011579178
"12/1/2014",8,55.94,87.4556011579178
"12/1/2014",9,60.08,87.4556011579178
"12/1/2014",10,60.08,87.4556011579178
"12/1/2014",11,62.06,87.4556011579178
"12/1/2014",12,62.96,87.4556011579178
"12/1/2014",13,60.98,87.4556011579178
"12/1/2014",14,57.92,87.4556011579178
"12/1/2014",15,55.04,87.4556011579178
"12/1/2014",16,53.06,87.4556011579178
"12/1/2014",17,51.08,87.4556011579178
"12/1/2014",18,48.92,87.4556011579178
"12/1/2014",19,48.02,50.6871367371064
"12/1/2014",20,46.94,50.6871367371064
"12/1/2014",21,42.98,50.6871367371064
"12/1/2014",22,41,50.6871367371064
"12/1/2014",23,39.02,50.6871367371064
"12/2/2014",0,37.94,50.6871367371064
"12/2/2014",1,37.04,50.6871367371064
"12/2/2014",2,35.96,50.6871367371064
"12/2/2014",3,35.06,50.6871367371064
"12/2/2014",4,35.06,50.6871367371064
"12/2/2014",5,33.98,50.6871367371064
"12/2/2014",6,33.98,50.6871367371064
"12/2/2014",7,33.08,95.2555685137027
"12/2/2014",8,33.08,95.2555685137027
"12/2/2014",9,33.98,95.2555685137027
"12/2/2014",10,35.06,95.2555685137027
"12/2/2014",11,37.04,95.2555685137027
"12/2/2014",12,37.04,95.2555685137027
"12/2/2014",13,37.04,56.3471136776725
"12/2/2014",14,37.04,56.3471136776725
"12/2/2014",15,37.22,56.3471136776725
"12/2/2014",16,35.96,56.3471136776725
"12/2/2014",17,35.96,56.3471136776725
"12/2/2014",18,36.68,56.3471136776725
"12/2/2014",19,37.04,50.6871367371064
"12/2/2014",20,37.67,50.6871367371064
"12/2/2014",21,39.02,50.6871367371064
"12/2/2014",22,39.32,50.6871367371064
"12/2/2014",23,41,50.6871367371064
"12/3/2014",0,42.89,50.6871367371064
"12/3/2014",1,43.82,50.6871367371064
"12/3/2014",2,44.96,50.6871367371064
"12/3/2014",3,44.78,50.6871367371064
"12/3/2014",4,45.14,50.6871367371064
"12/3/2014",5,45.23,50.6871367371064
"12/3/2014",6,37.58,50.6871367371064
