Day,Hour,Temp,PredictedKwh
12/1/2014,0,51.98,73.4735711
12/1/2014,1,51.98,73.4735711
12/1/2014,2,51.08,70.952103
12/1/2014,3,51.08,70.952103
12/1/2014,4,51.08,70.952103
12/1/2014,5,51.08,70.952103
12/1/2014,6,50,67.92813131
12/1/2014,7,53.06,145.9456366
12/1/2014,8,55.94,154.0286549
12/1/2014,9,60.08,165.672322
12/1/2014,10,60.08,165.672322
12/1/2014,11,62.06,171.2511759
12/1/2014,12,62.96,173.7891884
12/1/2014,13,60.98,168.207351
12/1/2014,14,57.92,159.5937851
12/1/2014,15,55.04,151.50122
12/1/2014,16,53.06,145.9456366
12/1/2014,17,51.08,140.3966167
12/1/2014,18,48.92,134.3506261
12/1/2014,19,48.02,62.389255
12/1/2014,20,46.94,59.37081617
12/1/2014,21,42.98,48.31991421
12/1/2014,22,41,42.80430846
12/1/2014,23,39.02,37.29526621
12/2/2014,0,37.94,36.28433188
12/2/2014,1,37.04,33.78401883
12/2/2014,2,35.96,30.78543321
12/2/2014,3,35.06,28.28810356
12/2/2014,4,35.06,28.28810356
12/2/2014,5,33.98,25.29309802
12/2/2014,6,33.98,25.29309802
12/2/2014,7,33.08,92.24326548
12/2/2014,8,33.08,92.24326548
12/2/2014,9,33.98,94.73761172
12/2/2014,10,35.06,97.73261726
12/2/2014,11,37.04,103.2285325
12/2/2014,12,37.04,103.2285325
12/2/2014,13,37.04,103.2285325
12/2/2014,14,37.04,103.2285325
12/2/2014,15,37.22,103.7284867
12/2/2014,16,35.96,100.2299469
12/2/2014,17,35.96,100.2299469
12/2/2014,18,36.68,102.228787
12/2/2014,19,37.04,33.78401883
12/2/2014,20,37.67,35.53409558
12/2/2014,21,39.02,39.28649759
12/2/2014,22,39.32,40.12077907
12/2/2014,23,41,44.79553985
12/3/2014,0,42.89,52.05152523
12/3/2014,1,43.82,54.64431383
12/3/2014,2,44.96,57.82454621
12/3/2014,3,44.78,57.3222596
12/3/2014,4,45.14,58.32688706
12/3/2014,5,45.23,58.57807782
12/3/2014,6,37.58,37.27527531
12/3/2014,7,37.22,105.719718
12/3/2014,8,37.94,107.720077
12/3/2014,9,39.02,110.7222427
12/3/2014,10,40.1,113.7263612
12/3/2014,11,44.06,124.7581693
12/3/2014,12,46.31,131.0379385
12/3/2014,13,50,141.3551078
12/3/2014,14,51.08,144.3790795
12/3/2014,15,51.44,145.387504
12/3/2014,16,50,141.3551078
12/3/2014,17,50,141.3551078
12/3/2014,18,50,141.3551078
12/3/2014,19,49.46,70.39934052
12/3/2014,20,48.02,66.37171776
12/3/2014,21,42.98,52.30237697
12/3/2014,22,42.08,49.7944698
12/3/2014,23,39.92,43.78102543
12/4/2014,0,39.02,43.26896035
12/4/2014,1,37.94,40.26679465
12/4/2014,2,37.94,40.26679465
12/4/2014,3,37.04,37.76648159
12/4/2014,4,37.04,37.76648159
12/4/2014,5,33.98,29.27556078
12/4/2014,6,33.98,29.27556078
12/4/2014,7,35.06,101.71508
12/4/2014,8,37.94,109.7113083
12/4/2014,9,39.92,115.2167705
12/4/2014,10,41,118.2225163
12/4/2014,11,42.08,121.2302149
12/4/2014,12,42.98,123.7381221
12/4/2014,13,42.98,123.7381221
12/4/2014,14,42.08,121.2302149
12/4/2014,15,39.92,115.2167705
12/4/2014,16,37.04,107.2109953
12/4/2014,17,35.96,104.2124097
12/4/2014,18,33.98,98.72007448
12/4/2014,19,33.08,26.78121454
12/4/2014,20,32,23.78978909
12/4/2014,21,30.92,20.80031642
12/4/2014,22,30.02,18.31058089
12/4/2014,23,30.02,18.31058089
12/5/2014,0,28.94,17.31591968
12/5/2014,1,28.04,14.82916756
12/5/2014,2,28.04,14.82916756
12/5/2014,3,26.96,11.84685506
12/5/2014,4,26.96,11.84685506
12/5/2014,5,26.96,11.84685506
12/5/2014,6,26.06,9.363086341
12/5/2014,7,26.96,81.29136876
12/5/2014,8,30.02,89.74632597
12/5/2014,9,32,95.22553417
12/5/2014,10,35.96,106.203641
12/5/2014,11,37.94,111.7025397
12/5/2014,12,42.08,123.2214463
12/5/2014,13,42.08,123.2214463
12/5/2014,14,41,120.2137477
12/5/2014,15,39.92,117.2080019
12/5/2014,16,39.92,117.2080019
12/5/2014,17,39.92,117.2080019
12/5/2014,18,41,120.2137477
12/5/2014,19,41,50.76923399
12/5/2014,20,41,50.76923399
12/5/2014,21,41,50.76923399
12/5/2014,22,39.92,47.76348819
12/5/2014,23,39.56,46.76200688
12/6/2014,0,39.74,-25.32354945
12/6/2014,1,40.1,-24.32195965
12/6/2014,2,42.08,-18.80933731
12/6/2014,3,42.86,-16.63589611
12/6/2014,4,44.42,-12.28595797
12/6/2014,5,44.78,-11.2815475
12/6/2014,6,44.78,-11.2815475
12/6/2014,7,44.72,57.99554939
12/6/2014,8,41,47.62747782
12/6/2014,9,39.14,42.45213008
12/6/2014,10,37.94,39.11626986
12/6/2014,11,39.02,42.11843557
12/6/2014,12,39.02,42.11843557
12/6/2014,13,39.56,43.62025072
12/6/2014,14,39.92,44.62173203
12/6/2014,15,41,47.62747782
12/6/2014,16,41,47.62747782
12/6/2014,17,41,47.62747782
12/6/2014,18,39.02,42.11843557
12/6/2014,19,39.02,-27.32607813
12/6/2014,20,39.02,-27.32607813
12/6/2014,21,39.02,-27.32607813
12/6/2014,22,37.94,-30.32824384
12/6/2014,23,37.94,-30.32824384
12/7/2014,0,37.22,-44.27599105
12/7/2014,1,35.78,-48.27410522
12/7/2014,2,37.22,-44.27599105
12/7/2014,3,37.22,-44.27599105
12/7/2014,4,35.96,-47.7745308
12/7/2014,5,35.06,-50.27186045
12/7/2014,6,33.89,-53.51636163
12/7/2014,7,33.98,16.17764772
12/7/2014,8,33.98,16.17764772
12/7/2014,9,33.98,16.17764772
12/7/2014,10,33.98,16.17764772
12/7/2014,11,33.98,16.17764772
12/7/2014,12,33.98,16.17764772
12/7/2014,13,35.96,21.6699829
12/7/2014,14,37.04,24.66856852
12/7/2014,15,35.96,21.6699829
12/7/2014,16,32,10.69187602
12/7/2014,17,30.02,5.212667821
12/7/2014,18,28.04,-0.259976889
12/7/2014,19,26.06,-75.17057181
