"Day","Hour","Temp","kwh"
"06/13/2016",18,70,116.645827073254
"06/13/2016",19,70,76.9188142613579
"06/13/2016",20,69,75.9735511049558
"06/13/2016",21,67,74.0830247921517
"06/13/2016",22,65,72.1924984793475
"06/13/2016",23,63,70.3019721665433
"06/14/2016",0,61,79.0344502616637
"06/14/2016",1,60,78.0891871052616
"06/14/2016",2,59,77.1439239488596
"06/14/2016",3,58,76.1986607924575
"06/14/2016",4,57,75.2533976360554
"06/14/2016",5,56,74.3081344796533
"06/14/2016",6,56,74.3081344796533
"06/14/2016",7,58,115.925673604354
"06/14/2016",8,61,118.76146307356
"06/14/2016",9,64,121.597252542766
"06/14/2016",10,67,124.433042011972
"06/14/2016",11,69,126.323568324777
"06/14/2016",12,71,128.214094637581
"06/14/2016",13,73,130.104620950385
"06/14/2016",14,75,131.995147263189
"06/14/2016",15,75,131.995147263189
"06/14/2016",16,75,131.995147263189
"06/14/2016",17,75,131.995147263189
"06/14/2016",18,74,131.049884106787
"06/14/2016",19,73,90.3776081384888
"06/14/2016",20,71,88.4870818256846
"06/14/2016",21,68,85.6512923564783
"06/14/2016",22,66,83.7607660436742
"06/14/2016",23,65,82.8155028872721
"06/15/2016",0,64,92.4928194789153
"06/15/2016",1,63,85.3818407640831
"06/15/2016",2,62,67.4681217733971
"06/15/2016",3,61,66.5196419113885
"06/15/2016",4,61,66.5196419113885
"06/15/2016",5,60,65.5743787549864
"06/15/2016",6,61,66.5196419113885
"06/15/2016",7,65,133.165520107093
"06/15/2016",8,68,136.001309576299
"06/15/2016",9,71,138.837099045505
"06/15/2016",10,74,141.672888514712
"06/15/2016",11,76,143.563414827516
"06/15/2016",12,77,144.508677983918
"06/15/2016",13,78,145.45394114032
"06/15/2016",14,78,145.45394114032
"06/15/2016",15,79,146.399204296722
"06/15/2016",16,79,146.399204296722
"06/15/2016",17,78,145.45394114032
"06/15/2016",18,77,144.508677983918
"06/15/2016",19,75,102.891138859218
"06/15/2016",20,74,101.945875702815
"06/15/2016",21,72,100.055349390011
"06/15/2016",22,70,98.1648230772071
"06/15/2016",23,69,97.219559920805
"06/16/2016",0,68,83.7594884141277
"06/16/2016",1,67,82.8142252577256
"06/16/2016",2,65,80.9236989449214
"06/16/2016",3,63,79.0331726321172
"06/16/2016",4,62,78.0879094757152
