"Day","Hour","Temp","kwh"
"06/13/2016",18,70,87.4556011579178
"06/13/2016",19,70,78.9336569780762
"06/13/2016",20,69,78.9336569780762
"06/13/2016",21,67,78.9336569780762
"06/13/2016",22,65,78.9336569780762
"06/13/2016",23,63,78.9336569780762
"06/14/2016",0,61,78.9336569780762
"06/14/2016",1,60,78.9336569780762
"06/14/2016",2,59,78.9336569780762
"06/14/2016",3,58,78.9336569780762
"06/14/2016",4,57,78.9336569780762
"06/14/2016",5,56,78.9336569780762
"06/14/2016",6,56,78.9336569780762
"06/14/2016",7,58,131.330243534597
"06/14/2016",8,61,131.330243534597
"06/14/2016",9,64,131.330243534597
"06/14/2016",10,67,203.056592884821
"06/14/2016",11,69,203.056592884821
"06/14/2016",12,71,203.056592884821
"06/14/2016",13,73,159.725588322227
"06/14/2016",14,75,159.725588322227
"06/14/2016",15,75,159.725588322227
"06/14/2016",16,75,159.725588322227
"06/14/2016",17,75,159.725588322227
"06/14/2016",18,74,159.725588322227
"06/14/2016",19,73,78.9336569780762
"06/14/2016",20,71,78.9336569780762
"06/14/2016",21,68,78.9336569780762
"06/14/2016",22,66,78.9336569780762
"06/14/2016",23,65,78.9336569780762
"06/15/2016",0,64,78.9336569780762
"06/15/2016",1,63,78.9336569780762
"06/15/2016",2,62,78.9336569780762
"06/15/2016",3,61,78.9336569780762
"06/15/2016",4,61,78.9336569780762
"06/15/2016",5,60,78.9336569780762
"06/15/2016",6,61,78.9336569780762
"06/15/2016",7,65,203.056592884821
"06/15/2016",8,68,203.056592884821
"06/15/2016",9,71,203.056592884821
"06/15/2016",10,74,203.056592884821
"06/15/2016",11,76,203.056592884821
"06/15/2016",12,77,203.056592884821
"06/15/2016",13,78,159.725588322227
"06/15/2016",14,78,159.725588322227
"06/15/2016",15,79,159.725588322227
"06/15/2016",16,79,159.725588322227
"06/15/2016",17,78,159.725588322227
"06/15/2016",18,77,159.725588322227
"06/15/2016",19,75,78.9336569780762
"06/15/2016",20,74,78.9336569780762
"06/15/2016",21,72,78.9336569780762
"06/15/2016",22,70,78.9336569780762
"06/15/2016",23,69,78.9336569780762
"06/16/2016",0,68,78.9336569780762
"06/16/2016",1,67,78.9336569780762
"06/16/2016",2,65,78.9336569780762
"06/16/2016",3,63,78.9336569780762
"06/16/2016",4,62,78.9336569780762
"06/16/2016",5,61,78.9336569780762
"06/16/2016",6,61,78.9336569780762
"06/16/2016",7,64,131.330243534597
"06/16/2016",8,68,203.056592884821
"06/16/2016",9,71,203.056592884821
"06/16/2016",10,74,203.056592884821
"06/16/2016",11,76,203.056592884821
