"","OnlyDate","hour","Date","u","v","ws","wd","month","year","wp7"
"1",2009-07-01,"01",2009-07-01 01:00:00,3.14,-3.62,4.79,139.09,"07","2009",0.051
"2",2009-07-01,"02",2009-07-01 02:00:00,2.96,-3.56,4.63,140.26,"07","2009",0
"3",2009-07-01,"03",2009-07-01 03:00:00,2.89,-3.46,4.51,140.15,"07","2009",0
"4",2009-07-01,"04",2009-07-01 04:00:00,2.87,-3.33,4.4,139.26,"07","2009",0
"5",2009-07-01,"05",2009-07-01 05:00:00,2.8,-3.19,4.25,138.73,"07","2009",0
"6",2009-07-01,"06",2009-07-01 06:00:00,2.57,-3.07,4,140,"07","2009",0
"7",2009-07-01,"07",2009-07-01 07:00:00,2.14,-2.97,3.66,144.27,"07","2009",0.025
"8",2009-07-01,"08",2009-07-01 08:00:00,1.67,-2.86,3.32,149.72,"07","2009",0
"9",2009-07-01,"09",2009-07-01 09:00:00,1.43,-2.7,3.06,152.18,"07","2009",0
"10",2009-07-01,"10",2009-07-01 10:00:00,1.56,-2.46,2.91,147.59,"07","2009",0
"11",2009-07-01,"11",2009-07-01 11:00:00,1.89,-2.13,2.85,138.5,"07","2009",0
"12",2009-07-01,"12",2009-07-01 12:00:00,2.15,-1.77,2.78,129.44,"07","2009",0
"13",2009-07-01,"13",2009-07-01 13:00:00,2.205,-1.59,2.725,125.575,"07","2009",0
"14",2009-07-01,"14",2009-07-01 14:00:00,2.205,-1.41,2.625,122.045,"07","2009",0
"15",2009-07-01,"15",2009-07-01 15:00:00,2.245,-1.235,2.585,117.695,"07","2009",0
"16",2009-07-01,"16",2009-07-01 16:00:00,2.39,-1.085,2.655,113.43,"07","2009",0
"17",2009-07-01,"17",2009-07-01 17:00:00,2.515,-1.005,2.735,111.1,"07","2009",0
"18",2009-07-01,"18",2009-07-01 18:00:00,2.465,-1.01,2.68,111.805,"07","2009",0
"19",2009-07-01,"19",2009-07-01 19:00:00,2.13,-1.115,2.41,117.15,"07","2009",0
"20",2009-07-01,"20",2009-07-01 20:00:00,1.62,-1.26,2.055,128.28,"07","2009",0
"21",2009-07-01,"21",2009-07-01 21:00:00,1.085,-1.375,1.77,143.095,"07","2009",0
"22",2009-07-01,"22",2009-07-01 22:00:00,0.665,-1.39,1.56,154.63,"07","2009",0
"23",2009-07-01,"23",2009-07-01 23:00:00,0.365,-1.3,1.355,163.89,"07","2009",0
"24",2009-07-02,"00",2009-07-02 00:00:00,0.175,-1.12,1.135,173.045,"07","2009",0
"25",2009-07-02,"01",2009-07-02 01:00:00,0.156666666666667,-0.943333333333333,0.963333333333333,174.316666666667,"07","2009",0
"26",2009-07-02,"02",2009-07-02 02:00:00,-0.00666666666666667,-0.683333333333333,0.763333333333333,139.78,"07","2009",0
"27",2009-07-02,"03",2009-07-02 03:00:00,-0.0666666666666667,-0.433333333333333,0.716666666666667,144.83,"07","2009",0
"28",2009-07-02,"04",2009-07-02 04:00:00,-0.0866666666666667,-0.246666666666667,0.606666666666667,148.366666666667,"07","2009",0
"29",2009-07-02,"05",2009-07-02 05:00:00,-0.0966666666666667,-0.133333333333333,0.55,137.103333333333,"07","2009",0
"30",2009-07-02,"06",2009-07-02 06:00:00,-0.136666666666667,-0.0833333333333333,0.486666666666667,159.253333333333,"07","2009",0
"31",2009-07-02,"07",2009-07-02 07:00:00,-0.233333333333333,-0.08,0.463333333333333,211.743333333333,"07","2009",0
"32",2009-07-02,"08",2009-07-02 08:00:00,-0.373333333333333,-0.08,0.6,247.936666666667,"07","2009",0
"33",2009-07-02,"09",2009-07-02 09:00:00,-0.546666666666667,-0.02,0.833333333333333,268.813333333333,"07","2009",0
"34",2009-07-02,"10",2009-07-02 10:00:00,-0.713333333333333,0.123333333333333,0.986666666666667,274.69,"07","2009",0
"35",2009-07-02,"11",2009-07-02 11:00:00,-0.713333333333333,0.23,0.99,275.79,"07","2009",0
"36",2009-07-02,"12",2009-07-02 12:00:00,-0.363333333333333,0.153333333333333,0.776666666666667,278.63,"07","2009",0
"37",2009-07-02,"13",2009-07-02 13:00:00,0.885,-0.54,1.26,96.3125,"07","2009",0
"38",2009-07-02,"14",2009-07-02 14:00:00,1.8075,-1.1525,2.3,118.3425,"07","2009",0
"39",2009-07-02,"15",2009-07-02 15:00:00,2.5525,-1.655,3.205,120.965,"07","2009",0
"40",2009-07-02,"16",2009-07-02 16:00:00,2.955,-1.9625,3.7125,122.2225,"07","2009",0
"41",2009-07-02,"17",2009-07-02 17:00:00,3.075,-2.14,3.9,123.5675,"07","2009",0.025
"42",2009-07-02,"18",2009-07-02 18:00:00,3.03,-2.2675,3.91,125.4875,"07","2009",0
"43",2009-07-02,"19",2009-07-02 19:00:00,2.915,-2.405,3.875,128.0525,"07","2009",0.025
"44",2009-07-02,"20",2009-07-02 20:00:00,2.765,-2.52,3.8175,130.7575,"07","2009",0.076
"45",2009-07-02,"21",2009-07-02 21:00:00,2.5975,-2.565,3.7125,132.9725,"07","2009",0.076
"46",2009-07-02,"22",2009-07-02 22:00:00,2.425,-2.4975,3.5425,134.32,"07","2009",0
"47",2009-07-02,"23",2009-07-02 23:00:00,2.235,-2.3575,3.3125,135.4325,"07","2009",0
"48",2009-07-03,"00",2009-07-03 00:00:00,2.0025,-2.2025,3.02,137.1675,"07","2009",0
"49",2009-07-03,"01",2009-07-03 01:00:00,1.92,-2.0325,2.8275,136.6425,"07","2009",0
"50",2009-07-03,"02",2009-07-03 02:00:00,1.9325,-1.7625,2.645,132.38,"07","2009",0
"51",2009-07-03,"03",2009-07-03 03:00:00,2.205,-1.7625,2.8375,128.1875,"07","2009",0
"52",2009-07-03,"04",2009-07-03 04:00:00,2.7425,-2.0475,3.43,125.525,"07","2009",0
"53",2009-07-03,"05",2009-07-03 05:00:00,3.3775,-2.4725,4.2025,124.765,"07","2009",0
"54",2009-07-03,"06",2009-07-03 06:00:00,3.9225,-2.875,4.8825,125.02,"07","2009",0.354
"55",2009-07-03,"07",2009-07-03 07:00:00,4.2275,-3.1225,5.2725,125.725,"07","2009",0.682
"56",2009-07-03,"08",2009-07-03 08:00:00,4.34,-3.2675,5.44,126.625,"07","2009",0.429
"57",2009-07-03,"09",2009-07-03 09:00:00,4.3525,-3.3725,5.5225,127.6425,"07","2009",0.303
"58",2009-07-03,"10",2009-07-03 10:00:00,4.3525,-3.515,5.6075,128.68,"07","2009",0.227
"59",2009-07-03,"11",2009-07-03 11:00:00,4.3825,-3.675,5.7425,129.425,"07","2009",0.429
"60",2009-07-03,"12",2009-07-03 12:00:00,4.4725,-3.825,5.92,129.6975,"07","2009",0.354
"61",2009-07-03,"13",2009-07-03 13:00:00,4.8375,-4.6725,6.75,133.505,"07","2009",0.253
"62",2009-07-03,"14",2009-07-03 14:00:00,4.99,-4.6725,6.8775,132.5825,"07","2009",0.152
"63",2009-07-03,"15",2009-07-03 15:00:00,4.95,-4.6175,6.8175,132.47,"07","2009",0.177
"64",2009-07-03,"16",2009-07-03 16:00:00,4.7025,-4.5525,6.5825,133.61,"07","2009",0.354
"65",2009-07-03,"17",2009-07-03 17:00:00,4.31,-4.495,6.25,135.815,"07","2009",0.278
"66",2009-07-03,"18",2009-07-03 18:00:00,3.8625,-4.4525,5.91,138.675,"07","2009",0.152
"67",2009-07-03,"19",2009-07-03 19:00:00,3.43,-4.4225,5.615,141.65,"07","2009",0.126
"68",2009-07-03,"20",2009-07-03 20:00:00,2.9975,-4.3925,5.34,144.695,"07","2009",0.126
