"","OnlyDate","hour","Date","u","v","ws","wd","month","year","wp6"
"1",2009-07-01,"01",2009-07-01 01:00:00,3.17,-3.2,4.51,135.19,"07","2009",0.066
"2",2009-07-01,"02",2009-07-01 02:00:00,3.06,-3.06,4.33,135.04,"07","2009",0.026
"3",2009-07-01,"03",2009-07-01 03:00:00,2.98,-2.95,4.19,134.75,"07","2009",0.013
"4",2009-07-01,"04",2009-07-01 04:00:00,2.9,-2.85,4.07,134.45,"07","2009",0
"5",2009-07-01,"05",2009-07-01 05:00:00,2.79,-2.75,3.92,134.63,"07","2009",0.013
"6",2009-07-01,"06",2009-07-01 06:00:00,2.56,-2.65,3.69,136,"07","2009",0.079
"7",2009-07-01,"07",2009-07-01 07:00:00,2.21,-2.55,3.38,139.06,"07","2009",0.013
"8",2009-07-01,"08",2009-07-01 08:00:00,1.88,-2.42,3.07,142.21,"07","2009",0
"9",2009-07-01,"09",2009-07-01 09:00:00,1.74,-2.24,2.84,142.21,"07","2009",0
"10",2009-07-01,"10",2009-07-01 10:00:00,1.91,-2,2.76,136.34,"07","2009",0
"11",2009-07-01,"11",2009-07-01 11:00:00,2.21,-1.71,2.79,127.74,"07","2009",0
"12",2009-07-01,"12",2009-07-01 12:00:00,2.4,-1.41,2.78,120.39,"07","2009",0
"13",2009-07-01,"13",2009-07-01 13:00:00,2.425,-1.3,2.75,118.065,"07","2009",0
"14",2009-07-01,"14",2009-07-01 14:00:00,2.345,-1.18,2.63,116.24,"07","2009",0
"15",2009-07-01,"15",2009-07-01 15:00:00,2.38,-1.04,2.615,112.83,"07","2009",0
"16",2009-07-01,"16",2009-07-01 16:00:00,2.595,-0.91,2.765,108.645,"07","2009",0
"17",2009-07-01,"17",2009-07-01 17:00:00,2.835,-0.815,2.965,105.745,"07","2009",0
"18",2009-07-01,"18",2009-07-01 18:00:00,2.91,-0.795,3.03,105.14,"07","2009",0
"19",2009-07-01,"19",2009-07-01 19:00:00,2.69,-0.865,2.835,107.645,"07","2009",0.013
"20",2009-07-01,"20",2009-07-01 20:00:00,2.245,-1,2.46,113.77,"07","2009",0.013
"21",2009-07-01,"21",2009-07-01 21:00:00,1.7,-1.155,2.055,124.345,"07","2009",0.026
"22",2009-07-01,"22",2009-07-01 22:00:00,1.155,-1.275,1.735,138.115,"07","2009",0.013
"23",2009-07-01,"23",2009-07-01 23:00:00,0.66,-1.33,1.495,152.885,"07","2009",0.013
"24",2009-07-02,"00",2009-07-02 00:00:00,0.235,-1.28,1.305,168.645,"07","2009",0
"25",2009-07-02,"01",2009-07-02 01:00:00,-0.0166666666666667,-1.20333333333333,1.21,181.18,"07","2009",0
"26",2009-07-02,"02",2009-07-02 02:00:00,-0.316666666666667,-1.00333333333333,1.05333333333333,198.486666666667,"07","2009",0
"27",2009-07-02,"03",2009-07-02 03:00:00,-0.43,-0.746666666666667,0.88,211.186666666667,"07","2009",0
"28",2009-07-02,"04",2009-07-02 04:00:00,-0.416666666666667,-0.506666666666667,0.703333333333333,216.173333333333,"07","2009",0
"29",2009-07-02,"05",2009-07-02 05:00:00,-0.356666666666667,-0.306666666666667,0.59,212.593333333333,"07","2009",0
"30",2009-07-02,"06",2009-07-02 06:00:00,-0.336666666666667,-0.186666666666667,0.57,214.39,"07","2009",0
"31",2009-07-02,"07",2009-07-02 07:00:00,-0.436666666666667,-0.15,0.613333333333333,237.626666666667,"07","2009",0
"32",2009-07-02,"08",2009-07-02 08:00:00,-0.62,-0.14,0.81,262.25,"07","2009",0
"33",2009-07-02,"09",2009-07-02 09:00:00,-0.856666666666667,-0.0733333333333333,1.06666666666667,273.81,"07","2009",0
"34",2009-07-02,"10",2009-07-02 10:00:00,-1.08,0.09,1.25,275.466666666667,"07","2009",0
"35",2009-07-02,"11",2009-07-02 11:00:00,-1.11666666666667,0.243333333333333,1.27666666666667,276.04,"07","2009",0
"36",2009-07-02,"12",2009-07-02 12:00:00,-0.793333333333333,0.21,1.01,272.166666666667,"07","2009",0
"37",2009-07-02,"13",2009-07-02 13:00:00,0.4075,-0.425,0.9825,159.5225,"07","2009",0
"38",2009-07-02,"14",2009-07-02 14:00:00,1.3575,-1.0025,1.8225,118.98,"07","2009",0
"39",2009-07-02,"15",2009-07-02 15:00:00,2.1875,-1.4675,2.7875,121.08,"07","2009",0.013
"40",2009-07-02,"16",2009-07-02 16:00:00,2.735,-1.755,3.4025,121.2025,"07","2009",0.039
"41",2009-07-02,"17",2009-07-02 17:00:00,3.03,-1.915,3.73,121.3375,"07","2009",0.053
"42",2009-07-02,"18",2009-07-02 18:00:00,3.16,-2.0525,3.8925,122.1425,"07","2009",0.039
"43",2009-07-02,"19",2009-07-02 19:00:00,3.1875,-2.2275,3.985,123.9975,"07","2009",0.053
"44",2009-07-02,"20",2009-07-02 20:00:00,3.12,-2.405,4.02,126.565,"07","2009",0.092
"45",2009-07-02,"21",2009-07-02 21:00:00,2.965,-2.5275,3.96,129.4125,"07","2009",0.079
"46",2009-07-02,"22",2009-07-02 22:00:00,2.7175,-2.545,3.7775,132.2225,"07","2009",0.053
"47",2009-07-02,"23",2009-07-02 23:00:00,2.4075,-2.45,3.48,134.88,"07","2009",0.053
"48",2009-07-03,"00",2009-07-03 00:00:00,2.0625,-2.2475,3.0825,137.1875,"07","2009",0.026
"49",2009-07-03,"01",2009-07-03 01:00:00,1.945,-1.89,2.745,134.295,"07","2009",0.013
"50",2009-07-03,"02",2009-07-03 02:00:00,1.93,-1.47,2.455,127.7275,"07","2009",0
"51",2009-07-03,"03",2009-07-03 03:00:00,2.1775,-1.3725,2.5825,121.6675,"07","2009",0
"52",2009-07-03,"04",2009-07-03 04:00:00,2.69,-1.6275,3.1525,119.445,"07","2009",0.013
"53",2009-07-03,"05",2009-07-03 05:00:00,3.305,-2.0725,3.9225,120.19,"07","2009",0.039
"54",2009-07-03,"06",2009-07-03 06:00:00,3.84,-2.4875,4.5975,121.5175,"07","2009",0.447
